tag,release_datetime
732db18,2024-11-05T16:22:06
c7b7c54,2024-11-19T13:44:31
v1.2.0-beta,2024-11-22T12:41:39
493c337,2024-11-26T11:18:06
428ecfa,2024-11-27T14:24:08
v1.3.0-beta,2024-11-28T11:20:34
v1.4.0-beta,2024-12-05T12:16:16
55b597e,2024-12-10T16:15:14
5381e13,2024-12-13T13:09:30
86bfae3,2024-12-16T10:36:31
0fc8d30,2024-12-16T15:24:09
3490cb5,2024-12-17T13:49:36
f28c8cf,2024-12-19T09:23:34
86043ec,2024-12-23T15:03:36
18814e3,2025-01-10T15:04:27
v2.0.0-beta,2025-01-14T17:37:33
f5f3d40,2025-01-16T13:33:49
99e5714,2025-01-21T10:11:02
6aedfa2,2025-01-22T11:54:15
202fd4c,2025-01-24T13:28:10
d4d1ea8,2025-01-28T16:17:11
db11b51,2025-01-29T16:20:42
v2.2.0-beta,2025-01-31T12:22:30
a68a216,2025-02-03T13:10:01
a715b0e,2025-02-06T14:58:50
72844b6,2025-02-12T16:30:07
5295aca,2025-02-13T17:23:57
76bf08d,2025-02-17T11:18:13
55f3850,2025-02-24T14:40:35
v2.3.0-beta,2025-02-27T16:03:41
8945c8a8,2025-03-03T15:52:31
v2.3.1-beta,2025-03-06T15:30:10
v2.3.2-beta,2025-03-12T14:56:56
1ab45947,2025-03-18T13:50:29
6caa0d88,2025-03-19T15:33:21
d544274e,2025-03-24T16:04:00
dfa76590,2025-03-26T12:06:22
4acb8035,2025-03-31T15:35:08
31d85d97,2025-04-01T12:27:30
de94052a,2025-04-01T14:55:11
c7e39c91,2025-04-02T11:23:41
775f685f,2025-04-03T14:11:41
20246de5,2025-04-04T09:15:30
1ceddd5f,2025-04-04T15:29:41
a3a4380b,2025-04-08T09:13:36
1ebacbf4,2025-04-10T09:46:26
e5c33f7a,2025-04-11T09:30:11
